,,,EM-III,OC,ME&SM,BEEE,CPC,OC LA,ME LA,
,,,Enginee ring Mathem atics-III,Organic Chemist ry,Mechani cal Enginee ring and,Basic Electric al and Electron,Chemic al Process Calculat,Organic Chemist ry Laborat,Mechani cal Enginee ring,
,,,Grad,Grad,Grad,Grad,Grad,Grad,Grad,
317126502001,8.40,8.72,A,A,A,A,A+,A+,A+,
317126502002,8.65,8.73,A,B+,A+,A+,A+,O,A+,
317126502003,7.05,7.38,A,C,B+,C,A,A,A+,
317126502004,5.80,,C,P,B,C,B,A,A,
317126502006,5.40,5.65,P,P,P,P,B+,A,A,
317126502007,9.20,9.10,O,A,A+,A+,A+,O,O,
317126502008,8.50,8.90,A,A,A+,B+,A+,O,A+,
317126502009,8.30,8.27,A+,B+,A,A,A,O,A+,
317126502010,8.25,8.63,A,A,A,B+,A+,O,A,
317126502011,,,P,F,P,F,P,B,A,
317126502012,8.65,8.77,A+,A,A,A,A+,O,A+,
317126502013,7.70,7.75,A+,B,A,B+,B+,A+,A+,
317126502014,7.95,8.30,A+,B+,A,B+,A,A+,A,
317126502015,,,P,F(Ab,P,P,F(Ab,B,B+,
,,,EM-III,OC,ME&SM,BEEE,CPC,OC LA,ME LA,
,,,Enginee ring Mathem atics-III,Organic Chemist ry,Mechani cal Enginee ring and,Basic Electric al and Electron,Chemic al Process Calculat,Organic Chemist ry Laborat,Mechani cal Enginee ring,
,,,Grad,Grad,Grad,Grad,Grad,Grad,Grad,
317126502016,7.50,7.90,B,B+,A,B+,A,A,A+,
317126502017,8.80,8.82,O,A,A+,B+,A+,O,A+,
317126502018,,,B,B,P,F,P,B+,A,
317126502019,5.90,6.92,B,P,B,B,C,A,A,
317126502020,,,F,F,F,F,F,C,A,
317126502021,,,B,F,B+,C,B,A,A+,
317126502022,7.95,8.22,A,A,A,B+,A,A+,A,
317126502023,8.85,8.78,O,A+,A,A,A+,A+,A+,
317126502024,,,F,F,F,F,F,B,B+,
317126502025,8.80,8.92,A,A,A+,A+,A+,O,A+,
317126502026,,,F,F,F,F,F,B,B+,
317126502027,5.75,,P,C,B,P,B,A+,A,
317126502029,,,F,F,P,F,P,A,A,
317126502030,6.05,5.85,C,C,C,P,B+,A+,A+,
,,,EM-III,OC,ME&SM,BEEE,CPC,OC LA,ME LA,
,,,Enginee ring Mathem atics-III,Organic Chemist ry,Mechani cal Enginee ring and,Basic Electric al and Electron,Chemic al Process Calculat,Organic Chemist ry Laborat,Mechani cal Enginee ring,
,,,Grad,Grad,Grad,Grad,Grad,Grad,Grad,
317126502031,8.75,8.62,A+,A,A,A,A+,O,O,
318126502L01,7.30,7.30,B+,C,A,B,A,A+,A+,
318126502L02,8.55,8.55,A,A+,A+,B+,A,O,O,
318126502L03,7.80,7.80,C,A,A,B+,A+,O,A,
318126502L04,6.30,6.30,C,P,B+,B,B+,A,A,
318126502L05,,,F,F,F,P,F,A+,A,
318126502L06,6.15,6.15,B,P,B+,P,B+,A,A,
318126502L07,7.50,7.50,B+,B,A,B+,B+,O,A+,
318126502L08,6.00,6.00,C,C,B+,C,C,A,A+,
318126502L09,5.85,5.85,C,C,B,C,C,A+,A,
318126502L10,,,F,F,C,P,C,A+,A+,
318126502L11,5.85,5.85,C,P,B+,C,C,A+,A,
318126502L12,,,P,F,C,F,P,B+,A+,
318126502L13,,,P,F,P,F,F,B+,A,
,,,EM-III,OC,ME&SM,BEEE,CPC,OC LA,ME LA,
,,,Enginee ring Mathem atics-III,Organic Chemist ry,Mechani cal Enginee ring and,Basic Electric al and Electron,Chemic al Process Calculat,Organic Chemist ry Laborat,Mechani cal Enginee ring,
,,,Grad,Grad,Grad,Grad,Grad,Grad,Grad,
318126502L14,,,F,F,B,F,P,A,A,
318126502L15,6.70,6.70,C,B,B+,B,B,O,A+,
318126502L16,7.40,7.40,B+,B,A,C,A,O,A+,
318126502L17,5.55,5.55,C,P,B,P,C,A,A+,
318126502L18,,,C,F,B+,F,B,A+,A,
,,,EM-III,BT,EG,EM,SURV-,SOM,SFW-I,SOM L
,,,Enginee ring Mathem atics-III,Building Technol ogy,Enginee ring Geology,Enginee ring Mechani cs,Surveyi ng– I,Strength of Material s,Surveyi ng Field Work-I,Strength of Material s Lab
,,,Grad,Grad,Grad,Grad,Grad,Grad,Grad,Grad
317126508001,,,F,A,A,F,C,F,A,B+
317126508002,7.77,7.85,B+,A,A,B+,A+,B,A+,A+
317126508003,9.00,8.85,O,A,A+,O,A,A+,A+,A+
317126508004,9.32,9.31,A,A+,A+,O,O,A+,O,O
317126508005,9.23,9.13,A+,A+,A+,O,A+,A+,A+,O
317126508006,8.45,8.05,A+,A,A,A+,A+,B+,A+,A+
317126508007,8.68,8.60,A,A,A+,O,A+,B+,O,A+
317126508008,8.77,8.82,A+,A+,A+,A+,A,A+,A,A+
317126508009,,,P,B,C,P,F,F,A,C
317126508010,9.05,9.11,A+,A+,A+,O,A,A,O,O
317126508011,8.27,8.08,A+,A+,A,A+,A,B+,A,A
317126508012,,,F,P,F,P,F,F,C,F
317126508013,,,B+,B+,B+,B+,C,F,A,A
317126508014,,,P,B+,C,F,B,F,B+,B+
,,,EM-III,BT,EG,EM,SURV-,SOM,SFW-I,SOM L
,,,Enginee ring Mathem atics-III,Building Technol ogy,Enginee ring Geology,Enginee ring Mechani cs,Surveyi ng– I,Strength of Material s,Surveyi ng Field Work-I,Strength of Material s Lab
,,,Grad,Grad,Grad,Grad,Grad,Grad,Grad,Grad
317126508015,,,F,F,F,F,F,F,B,C
317126508016,,,F,F,F,P,P,F,B+,C
317126508017,,,C,A,C,F,F,F,A+,B+
317126508018,6.59,6.68,B,B+,B,B+,B+,P,A+,A
317126508019,8.09,7.61,A,A+,A,A,A,B+,A+,A
317126508020,4.68,5.29,P,C,P,P,P,P,A,B
317126508021,7.41,7.48,B+,A+,A,B+,B+,C,A+,A
317126508022,6.59,6.68,B+,A+,B+,C,B,C,B+,B+
317126508023,,,P,B,C,C,B,F,A,B+
317126508024,7.55,7.53,B+,A,B+,A,B+,B+,A,A+
317126508025,8.14,8.18,A,A+,A,A,A,A,A,A
317126508026,7.18,7.58,B,A,A,A,B+,C,A+,B+
317126508027,,,F,C,C,F,F,F,C,F
317126508028,8.73,8.81,A,A+,A,A+,A+,A+,O,A
,,,EM-III,BT,EG,EM,SURV-,SOM,SFW-I,SOM L
,,,Enginee ring Mathem atics-III,Building Technol ogy,Enginee ring Geology,Enginee ring Mechani cs,Surveyi ng– I,Strength of Material s,Surveyi ng Field Work-I,Strength of Material s Lab
,,,Grad,Grad,Grad,Grad,Grad,Grad,Grad,Grad
317126508029,7.82,8.15,A,A,A,A,A,B,A,A+
317126508030,,,P,B,P,F,B,F,A,C
317126508031,9.14,8.81,O,A+,A+,O,A,A+,A,O
317126508032,7.05,7.24,A+,C,C,A,B+,B+,A,A
317126508033,,,F,F(Ab,F(Ab,F(Ab,F(Ab,F(Ab,C,C
317126508034,7.91,7.73,A,A+,A+,A,A,B,B+,A
317126508035,6.32,7.15,B,B+,B+,B,C,P,O,B+
317126508036,,,F,F,F,F,F,F,C,C
317126508037,,,P,P,F,F,P,F,C,C
317126508038,6.09,5.89,P,B+,B,B,B+,P,A,A
317126508039,5.86,6.60,C,B+,C,B,B,P,A,B+
317126508040,7.95,7.60,A,A,B+,A+,A+,B,A+,A
317126508041,,,P,F,C,P,P,F,B+,C
317126508042,7.18,7.31,A,B+,B+,B+,A,C,A,A
,,,EM-III,BT,EG,EM,SURV-,SOM,SFW-I,SOM L
,,,Enginee ring Mathem atics-III,Building Technol ogy,Enginee ring Geology,Enginee ring Mechani cs,Surveyi ng– I,Strength of Material s,Surveyi ng Field Work-I,Strength of Material s Lab
,,,Grad,Grad,Grad,Grad,Grad,Grad,Grad,Grad
317126508043,,,F,P,P,P,P,F,B,C
317126508044,,,P,B,F,P,F,F,B+,C
317126508045,7.23,,B+,A,A,B+,B+,P,O,A
317126508046,6.50,6.60,B+,B,B+,B,B+,B,B,B+
317126508047,,,A,A,A,B+,F(Ab,F(Ab,B+,B+
317126508048,,,P,B+,P,P,F,F,B,B
317126508049,8.23,8.00,A,A+,A,A+,A+,B,A+,A
317126508050,4.64,,P,C,P,C,P,P,B+,C
317126508051,9.18,9.40,A+,O,A+,O,A+,A+,O,B+
317126508052,8.23,8.31,A+,A,A,A+,A,B+,A,A+
317126508053,,,F,F,F,B+,F,F,B,C
317126508054,,,F,C,F,P,F,F,B,C
317126508055,8.86,8.95,A+,A+,A+,A+,A+,A,A,O
317126508056,,,F,F,P,F,C,F,A+,B+
,,,EM-III,BT,EG,EM,SURV-,SOM,SFW-I,SOM L
,,,Enginee ring Mathem atics-III,Building Technol ogy,Enginee ring Geology,Enginee ring Mechani cs,Surveyi ng– I,Strength of Material s,Surveyi ng Field Work-I,Strength of Material s Lab
,,,Grad,Grad,Grad,Grad,Grad,Grad,Grad,Grad
318126508L01,9.18,9.18,A+,A+,A,O,A+,A+,O,O
